fs ()	Athr (Pa)
0.01	nan
0.02	nan
0.03	nan
0.04	nan
0.05	nan
0.060000000000000005	nan
0.06999999999999999	nan
0.08	nan
0.09	nan
0.09999999999999999	nan
0.11	nan
0.12	nan
0.13	nan
0.14	nan
0.15000000000000002	nan
0.16	nan
0.17	nan
0.18000000000000002	nan
0.19	nan
0.2	nan
0.21000000000000002	nan
0.22	nan
0.23	nan
0.24000000000000002	nan
0.25	nan
0.26	nan
0.27	nan
0.28	nan
0.29000000000000004	nan
0.3	nan
0.31	nan
0.32	nan
0.33	nan
0.34	nan
0.35000000000000003	nan
0.36000000000000004	nan
0.37	nan
0.38	nan
0.39	nan
0.4	nan
0.41000000000000003	nan
0.42000000000000004	nan
0.43	nan
0.44	nan
0.45	nan
0.46	nan
0.47000000000000003	nan
0.48000000000000004	nan
0.49	nan
0.5	nan
0.51	572890.625
0.52	491054.6875
0.53	424375.0
0.54	370859.375
0.55	325234.375
0.56	285546.875
0.5700000000000001	252578.125
0.5800000000000001	225273.4375
0.59	201328.125
0.6	181054.6875
0.61	163515.625
0.62	148085.9375
0.63	135234.375
0.64	123398.4375
0.65	113750.0
0.66	104765.625
0.67	96953.125
0.68	89921.875
0.6900000000000001	83593.75
0.7000000000000001	78437.5
0.7100000000000001	73437.5
0.72	69179.6875
0.73	65468.75
0.74	61953.125
0.75	58750.0
0.76	56171.875
0.77	53671.875
0.78	51250.0
0.79	49140.625
0.8	47421.875
0.81	45703.125
0.8200000000000001	44062.5
0.8300000000000001	42460.9375
0.8400000000000001	41171.875
0.85	40078.125
0.86	39062.5
0.87	38046.875
0.88	37031.25
0.89	36093.75
0.9	35234.375
0.91	34609.375
0.92	34023.4375
0.93	33515.625
0.9400000000000001	33046.875
0.9500000000000001	32617.1875
0.9600000000000001	32343.75
0.97	32187.5
0.98	32031.25
0.99	31953.125
